blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13148708,1630617931,0xc6c20456c027717ae6ed6d4b946b9bbcaa10ea4824d296de4d899cca118dde80,373,0xfb78f39038711961870607262cdc40ca5900287451f7ea05b66a152f91f95a84,300,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x95730d3e374b5e1f5b550af059af86d23fea79e3,0,441771,85000000000,0,1,,262816,transaction,2.233936e+16
13148724,1630618087,0x3ce424b65a34883277e9ae6122629ccfe04de7d1421cc38a488c066e9d120986,374,0x5df78a072becdc189f697f9ea4430c73d1547f08a491be737bbfabcf9ff4227a,75,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,6000000,79510132629,0,1,,2885342,transaction,2.2941392510002413e+17
13153745,1630685379,0xe023c330455c2be0ee61a00ddb542bc27bc5739cdc4fb8485c6935b3f1789b76,375,0xdf080a0452cba6fe37bc59eddd446ca909a8e8a1d02ab555c3cffb4d234cda08,186,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,10000000000000000,161776,165009299673,0,1,,120050,transaction,1.980936642574365e+16
13153942,1630688122,0x2364f49d18fbab43c1f5028e205dc05cc4ac5eb5fe196c4083c7fd3f1a0b032d,376,0x851eeb6df767df9476d7de5bbac17680c2cda41df7cf0ea6796cdaf857164df3,19,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6b175474e89094c44da98b954eedeac495271d0f,0,69687,172145368329,0,1,,46458,transaction,7997529521828682.0
13153942,1630688122,0xab18210e0ee0f0e9db1427c1e6a9bbd80ae8ad1c629c0456320447ac4a69beed,377,0x851eeb6df767df9476d7de5bbac17680c2cda41df7cf0ea6796cdaf857164df3,163,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xbedf3cf16ba1fce6c3b751903cf77e51d51e05b8,0,161776,131492128424,0,1,,21000,transaction,2761334696904000.0
13153942,1630688122,0x5758571236dec2f1b2285a8eadaa22dad6daea49054ddf056c14dbb2613de5f7,378,0x851eeb6df767df9476d7de5bbac17680c2cda41df7cf0ea6796cdaf857164df3,194,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xbedf3cf16ba1fce6c3b751903cf77e51d51e05b8,0,69687,130395905979,0,1,,21000,transaction,2738314025559000.0
13153954,1630688288,0x7e5d3e735a5695b4ca61f44156ca09f6337040b94df5da64ea31a536c1753b50,379,0xf2d395819a8da0835f7cd391b7ef0d8601ac98b30494e2f9f5ce53f2c951613c,154,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,192748,155067455628,0,1,,122167,transaction,1.8944125851705876e+16
13153985,1630688601,0xd2a72f5905d466d144a36d9f42a1155669a0075dbd8e5454cc8329bf44c400e4,380,0x687c7e68f274be26ff923d40ea5b597ae557e955f12385cee6b47b5d18c6c24f,260,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6b175474e89094c44da98b954eedeac495271d0f,0,39837,168184748833,0,1,,26558,transaction,4466650559506814.0
13153997,1630688829,0x0fe07bf9d3729e67349d201ed068f2c3e43c2623dd2c7b35248f9bb0d5b8219b,381,0x995291afb5e598fcebce15eee15b8cf4f908ac390e8ea1c941e46b51283dce8c,283,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6b175474e89094c44da98b954eedeac495271d0f,0,69687,210852068173,0,1,,46458,transaction,9795765383181234.0
13154003,1630688944,0x58d6e5a70c0a799868d1b4a95bd83b7571488f2447d874d0406587e34587bffa,382,0x7c082e5af3cfdf6351cf41b53a3921ea844a686b6fe12f9c7ec92e2ffe478be5,322,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,204690,192825067459,0,1,,125210,transaction,2.414362669654139e+16
